set_id	game_order
2		999
3		999
4		1
5		2
6		999
7		999
8		3
9		100
10		4
11		5
12		101
13 		999
14 		999	
15		6
16		7
17		102
18		8
19 		9
20		10	
21		11
22		999	
23		12	
24		103
25		13
26		14
27		15
28		16	
29		999
30		999
31		17
32		18
33		19
34		20
35		21	
36		22	
37		999		
38		999
39		23
40		24
41		25
42		104
43		26	
44		27	
45		28	
46		29	
47		30
48		105
49		31
50		999
51		32
52		106
53		999
54		999
55		33
56		999	
57		34
58		35
59		36
60		37
61		38
62		39
63		40
64		41
65		42
66		43
67		44
68 		45
69		46
70		47
71		999	
72		999
73		999
74		48	
75		49	
76		999
77		999
78		999	
79		50
80		999
81		51

